gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_050006600	51	211	105	137	239	244	240	242	125	86
LdBPK_050006700	416	1286	548	965	1043	927	1058	1136	413	415
LdBPK_050006800	27	63	27	47	51	38	53	59	25	18
LdBPK_050006900	4	17	6	3	15	8	10	12	11	4
LdBPK_050007000	13	33	24	22	62	43	60	44	14	23
LdBPK_050007100	977	3380	1589	2343	5830	4788	5410	6678	1238	1684
LdBPK_050007200	131	412	165	303	654	616	618	704	250	218
LdBPK_050007300	95	305	147	252	375	306	366	435	48	69
LdBPK_050007400	49	136	55	94	133	115	101	136	33	25
LdBPK_050007500	23	93	32	68	86	69	50	63	77	70
LdBPK_050007600	56	119	38	76	100	67	102	124	51	29
LdBPK_050007700	153	409	189	321	402	286	308	410	99	98
LdBPK_050007800	209	702	276	526	1693	1761	1648	1827	524	466
LdBPK_050007900	12	34	16	47	61	35	62	66	32	49
LdBPK_050008000	36	96	26	83	114	80	118	133	31	29
LdBPK_050008100	242	724	307	551	938	807	755	861	419	377
LdBPK_050008200	0	0	0	0	0	0	0	0	9	16
LdBPK_050008300	152	391	171	315	474	366	466	508	115	131
LdBPK_050008400	112	396	140	192	394	322	266	390	98	126
LdBPK_050008500	2228	7966	3637	5223	10334	9929	11635	13837	1104	1304
LdBPK_050008600	29	119	48	80	193	196	160	195	22	34
LdBPK_050008700	323	1025	467	747	1042	745	825	968	127	173
LdBPK_050008800	1893	6142	2863	4043	4468	3017	4372	4925	1122	1290
LdBPK_050008900	378	1527	732	1060	1571	1462	1649	1845	321	442
LdBPK_050009000	316	1086	463	774	1030	911	931	1161	222	363
LdBPK_050009100	168	423	222	270	391	368	350	364	119	155
LdBPK_050009200	262	895	435	645	934	955	1097	1254	172	163
